Filename,Algorithm,Goal,Path Length,Nodes Explored,Execution Time (s),Total Nodes,Total Time (s),Directions
test_files\test7.txt,GBFS,"(19, 19)",65,98,,267,,D-R-R-R-R-R-D-R-D-D-D-D-D-D-R-D-D-R-R-D-D-D-R-R-R-R-R-R-R-D-D-L-L-L-L-L-L-L-L-D-D-L-L-L-L-L-D-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R
test_files\test7.txt,GBFS,"(19, 0)",0,169,,267,,N/A
test_files\test7.txt,AS,"(19, 19)",47,141,,312,,D-R-R-R-R-R-D-R-D-D-D-D-D-D-R-D-D-L-L-D-D-L-L-D-D-D-D-D-D-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R
test_files\test7.txt,AS,"(19, 0)",0,171,,312,,N/A
test_files\test7.txt,CUS2,"(19, 19)",50,54,,66,,D-R-R-R-R-R-D-R-D-D-D-D-D-D-R-D-D-L-L-D-D-L-S-L-D-D-D-D-D-D-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-U-R-R-D
test_files\test7.txt,CUS2,"(19, 0)",0,12,,66,,N/A
test_files\test8.txt,DFS,"(3, 10)",25,32,,51,,L-D-R-R-D-D-D-L-L-D-D-D-R-U-U-R-D-D-D-D-L-D-R-R
test_files\test8.txt,DFS,"(0, 7)",13,19,,51,,L-D-R-R-D-D-D-L-L-D-D-D
test_files\test8.txt,BFS,"(3, 10)",13,39,,73,,D-R-D-D-D-D-D-D-D-D-D-R
test_files\test8.txt,BFS,"(0, 7)",11,34,,73,,D-R-D-D-D-L-L-D-D-D
test_files\test8.txt,CUS1,"(3, 10)",14,25,,49,,D-R-D-D-D-D-S-D-D-D-D-D-R
test_files\test8.txt,CUS1,"(0, 7)",12,24,,49,,D-R-D-D-D-S-L-L-D-D-D
test_files\test8.txt,GBFS,"(3, 10)",13,13,,26,,D-R-D-D-D-D-D-D-D-D-D-R
test_files\test8.txt,GBFS,"(0, 7)",11,13,,26,,D-R-D-D-D-L-L-D-D-D
test_files\test8.txt,AS,"(3, 10)",13,22,,39,,D-R-D-D-D-D-D-D-D-D-D-R
test_files\test8.txt,AS,"(0, 7)",11,17,,39,,D-R-D-D-D-L-L-D-D-D
test_files\test8.txt,CUS2,"(3, 10)",14,13,,27,,D-R-D-D-D-D-S-D-D-D-D-D-R
test_files\test8.txt,CUS2,"(0, 7)",12,14,,27,,D-R-D-D-D-S-L-L-D-D-D
test_files\test9.txt,DFS,"(10, 3)",31,41,,126,,U-R-D-D-R-R-D-R-U-U-U-R-D-D-D-R-U-U-U-R-D-D-D-R-U-R-U-R-D-D
test_files\test9.txt,DFS,"(7, 0)",21,28,,126,,U-R-D-D-R-R-D-R-U-U-U-R-D-D-D-R-U-U-U-R
test_files\test9.txt,DFS,"(0, 5)",0,57,,126,,N/A
test_files\test9.txt,BFS,"(10, 3)",13,39,,113,,D-R-R-R-R-R-R-R-R-R-R-D
test_files\test9.txt,BFS,"(7, 0)",11,34,,113,,D-R-R-R-R-U-U-R-R-R
test_files\test9.txt,BFS,"(0, 5)",0,40,,113,,N/A
test_files\test9.txt,CUS1,"(10, 3)",14,27,,56,,D-R-R-R-R-R-S-R-R-R-R-R-D
test_files\test9.txt,CUS1,"(7, 0)",12,24,,56,,D-R-R-R-R-S-U-U-R-R-R
test_files\test9.txt,CUS1,"(0, 5)",6,5,,56,,D-D-S-D-D
test_files\test9.txt,GBFS,"(10, 3)",15,17,,70,,D-R-R-R-D-R-R-R-R-R-U-R-R-D
test_files\test9.txt,GBFS,"(7, 0)",11,13,,70,,R-D-R-R-R-U-U-R-R-R
test_files\test9.txt,GBFS,"(0, 5)",0,40,,70,,N/A
test_files\test9.txt,AS,"(10, 3)",13,22,,79,,D-R-R-R-R-R-R-R-R-R-R-D
test_files\test9.txt,AS,"(7, 0)",11,17,,79,,R-D-R-R-R-U-U-R-R-R
test_files\test9.txt,AS,"(0, 5)",0,40,,79,,N/A
test_files\test9.txt,CUS2,"(10, 3)",14,15,,33,,D-R-R-R-R-R-S-R-R-R-R-R-D
test_files\test9.txt,CUS2,"(7, 0)",12,14,,33,,R-D-R-R-R-S-U-U-R-R-R
test_files\test9.txt,CUS2,"(0, 5)",6,4,,33,,D-D-S-D-D
test_files\xshape.txt,DFS,"(0, 0)",9,9,,9,,U-U-U-U-L-L-L-L
test_files\xshape.txt,BFS,"(0, 0)",9,20,,20,,U-U-U-U-L-L-L-L
test_files\xshape.txt,CUS1,"(0, 0)",10,17,,17,,L-L-L-L-S-U-U-U-U
test_files\xshape.txt,GBFS,"(0, 0)",9,9,,9,,U-U-U-U-L-L-L-L
test_files\xshape.txt,AS,"(0, 0)",9,9,,9,,U-U-U-U-L-L-L-L
test_files\xshape.txt,CUS2,"(0, 0)",10,13,,13,,U-U-U-U-L-L-S-L-L
